route_id,service_id,trip_id,shape_id
22,9,34699,22L
20,2,25372,20L
48,9,31849,48L
48,8,31848,48L
3,8,23918,3L
48,3,31843,48L
48,2,31842,48L
3,2,23912,3L
57,9,34059, 
8,2,32632,8I
22,8,34698,22L
8,8,32638,8I
28,8,36358,28I
44,8,32148,44O
20,8,25518,20L
20,2,25512,20L
28,2,36352,28I
44,2,32142,44O
54,9,37539,54I
54,8,37538,54I
18,11,169611,18O
54,2,37532,54I
4,2,36752,4L
18,7,27537,18I
4,8,36758,4L
28,8,36288,28I
28,2,36282,28I
48,8,31658,48L
48,9,31659,48L
48,3,31553,48L
18,7,27457,18I
28,2,36132,28O
15,8,37408,15I1035
28,8,36138,28O
15,2,37402,15I1035
4,2,36912,4L
38,8,33148,38O
38,9,33149,38O
4,8,36918,4L
38,2,33142,38O
38,3,33143,38O
15,2,37392,15I1035
48,3,28013,48L
15,9,37449,15I1035
15,9,37399,15I1035
15,8,37398,15I1035
51,8,29098,51I
51,2,29092,51I
15,9,37159,15O1520
15,2,37242,15L
54,2,37712,54O
22,8,34848,22L
15,8,37158,15O1520
15,9,37249,15L
15,8,37248,15L
22,2,34842,22L
22,3,34843,22L
54,9,37719,54O
52,2,29252, 
56,7,33707, 
46,8,36628,46L
15,2,37082,15O0655
56,2,33702, 
52,8,29398, 
46,2,36622,46L
15,8,37088,15O0655
18,2,29892,18O
50,3,28473,50L
57,8,33968, 
57,9,33969, 
50,9,28479,50L
57,2,33962, 
57,3,33963, 
48,2,31702,48L
48,3,31703,48L
57,9,34229, 
54,8,38008,54O
54,9,38009,54O
48,8,31708,48L
48,9,31709,48L
54,2,38002,54O
54,2,37662,54O
52,8,29418, 
54,8,37658,54I
54,9,37889,54I
54,8,37888,54I
48,3,31863,48L
54,9,37669,54O
54,8,37668,54O
54,2,37882,54I
57,3,34073, 
48,8,31528,48L
2,8,23108,2L
57,8,34068, 
57,9,34069, 
48,8,31538,48L
48,2,31522,48L
48,3,31523,48L
57,2,34062, 
57,3,34063, 
57,9,34179, 
54,2,37862,54I
54,9,37869,54I
54,8,37868,54I
50,9,28279,50L
50,3,28273,50L
48,9,31869,48L
48,8,31638,48L
57,3,34173, 
53,9,35529,53O
48,2,31632,48L
3,2,23642,3L
44,8,22618,44I
3,2,23742,3L
53,9,35719,53I
50,3,28293,50L
3,8,23748,3L
44,2,22612,44I
53,2,35712,53I
8,8,26508,8O
22,8,34668,22L
22,9,34669,22L
3,2,23582,3L
22,2,34662,22L
22,3,34663,22L
8,2,26502,8O
28,2,35942,28O
3,8,23588,3L
8,8,32848,8I
53,2,35392,53O
28,2,35822,28O
53,9,35399,53O
53,8,35398,53O
8,2,32842,8I
28,8,35828,28O
22,3,35003,22L
22,2,35002,22L
48,9,31559,48L
50,3,28613,50L
53,9,35629,53I
2,2,23362,2L
48,9,31839,48L
22,2,34712,22L
22,3,34713,22L
33,2,26472,33O
53,2,35622,53I
33,8,26478,33O
51,2,28852,51I
22,9,34719,22L
3,2,23692,3L
51,2,32932,51I
3,8,23698,3L
51,8,32938,51I
8,2,32442,8O
8,8,32448,8O
38,9,33089,38I
8,8,32718,8I
8,2,32712,8I
