stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
39,39,Olmsted Rd @ Hoskins Court North,37.427126,-122.157483,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=39
40,40,Olmsted Rd @ Hoskins Court South,37.427443,-122.156897,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=40
41,41,82 Olmsted Rd North,37.429612,-122.153819,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=41
42,42,82 Olmsted Rd South,37.4295,-122.153442,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=42
43,43,Olmsted Rd @ Hulme Ct North,37.428629,-122.155575,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=43
44,44,Olmsted Rd @ Hulme Ct South,37.428936,-122.154857,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=44
45,45,Olmsted Rd @ Barnes Ct West,37.428876,-122.1519,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=45
46,46,Olmsted Rd @ Barnes Ct East,37.428751,-122.151584,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=46
47,47,Olmsted Rd @ Yale St East,37.426457,-122.150761,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=47
48,48,Olmsted Rd @ Yale St West,37.426409,-122.150873,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=48
49,49,California Ave @ El Camino Real,37.425437,-122.145424,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=49
50,50,California Avenue near Ash St,37.426119,-122.144923,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=50
51,51,California Ave @ Ash St,37.426659,-122.144623,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=51
52,52,California Ave @ Birch St,37.427307,-122.144142,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=52
53,53,California Ave @ Birch St,37.427532,-122.143721,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=53
55,55,California Avenue Caltrain Station,37.428798,-122.14263,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=55
61,62,Galvez St @ El Camino Real,37.437004,-122.161065,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=62
62,63,El Camino Real @ Town & Country,37.437723,-122.16033,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=63
63,64,El Camino Real @ PAMF,37.439116,-122.162419,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=64
64,65,El Camino Real NB @ Palo Alto M,37.44008255,-122.16294097,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=65
65,66,Palo Alto Transit Ctr (Caltrain),37.443087,-122.164417,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=66
66,67,Lytton Ave @ Alma St,37.444391,-122.165114,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=67
67,68,Emerson St @ University Ave,37.444461,-122.162536,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=68
